state,dist,stdCount
Andhra Pradesh,Adilabad,-0.599764128124
Uttar Pradesh,Agra,-0.644842591831
Maharashtra,Ahmadnagar,0.542701361211
Mizoram,Aizawl,-0.420249053862
Rajasthan,Ajmer,-0.291011161709
Maharashtra,Akola,-0.0511820379964
Kerala,Alappuzha,0.678146359305
Uttar Pradesh,Aligarh,0.868526506995
Madhya Pradesh,Alirajpur,-0.165341633195
Uttar Pradesh,Allahabad,-0.359936278254
Rajasthan,Alwar,-0.979400772186
Haryana,Ambala,-1.29525131161
Uttar Pradesh,Ambedkar Nagar,1.46429258149
Maharashtra,Amravati,-0.00152388981344
Gujarat,Amreli,-0.553545397063
Punjab,Amritsar,-0.704922805093
Gujarat,Anand,-0.497880584105
Andhra Pradesh,Anantapur,-1.13951768514
Arunanchal Pradesh,Anjaw,-0.478558394894
Odisha,Anugul,-1.12931587994
Madhya Pradesh,Anuppur,-0.263801957216
Bihar,Araria,0.746724089556
Tamil Nadu,Ariyalur,-0.0332668295634
Bihar,Arwal,0.777430063506
Madhya Pradesh,Ashoknagar,0.158892276099
Uttar Pradesh,Auraiya,1.15842997477
Maharashtra,Aurangabad,0.56281983353
Bihar,Aurangabad,0.704384456446
Uttar Pradesh,Azamgarh,1.26280995906
Jammu & Kashmir,Badgam,-0.523054775305
Karnataka,Bagalkot,0.383391206539
Uttar Pradesh,Baghpat,1.1651121181
Uttar Pradesh,Bahraich,1.00060652215
Assam,Baksa,0.266278043866
Madhya Pradesh,Balaghat,-0.383161204168
Odisha,Balangir,-0.0324075437714
Odisha,Baleshwar,-0.781688587842
Uttar Pradesh,Ballia,1.45509051405
Uttar Pradesh,Balrampur,1.12549010313
Gujarat,Banas Kantha,-0.214766560162
Uttar Pradesh,Banda,1.20239174171
Jammu & Kashmir,Bandipore,-0.634561320526
Karnataka,Bangalore Rural,0.822537624155
Bihar,Banka,0.239451735158
West Bengal,Bankura,-0.110033639755
Rajasthan,Banswara,-1.17526846427
Uttar Pradesh,Bara Banki,0.970507954017
Rajasthan,Baran,-0.307019069342
West Bengal,Barddhaman,0.772349157946
Uttar Pradesh,Bareilly,0.608605912036
Odisha,Bargarh,-0.296718172696
Rajasthan,Barmer,-0.847311713367
Punjab,Barnala,-0.788516632469
Assam,Barpeta,0.182011226043
Madhya Pradesh,Barwani,-0.492143897834
Chhattisgarh,Bastar,-0.210209754982
Uttar Pradesh,Basti,1.37962529811
Punjab,Bathinda,-0.980488836438
Odisha,Bauda,-0.16332631806
Bihar,Begusarai,0.340403347327
Karnataka,Belgaum,0.389788516787
Karnataka,Bellary,-0.451092006045
Madhya Pradesh,Betul,-0.173926403336
Odisha,Bhadrak,-0.751948399209
Bihar,Bhagalpur,0.10423280032
Maharashtra,Bhandara,-0.280774228975
Rajasthan,Bharatpur,-0.206528416778
Gujarat,Bharuch,1.72933902887
Gujarat,Bhavnagar,-0.557208164817
Rajasthan,Bhilwara,-0.151962512887
Madhya Pradesh,Bhind,0.652148492441
Haryana,Bhiwani,-1.32865903163
Bihar,Bhojpur,0.67290408658
Madhya Pradesh,Bhopal,0.611784033361
Maharashtra,Bid,-0.267873927276
Karnataka,Bidar,-0.416650708765
Chhattisgarh,Bijapur,-0.804864823098
Karnataka,Bijapur,0.652688620084
Uttar Pradesh,Bijnor,0.773094009062
Rajasthan,Bikaner,-0.828897019766
Chhattisgarh,Bilaspur,-0.0654961271992
Himachal Pradesh,Bilaspur,-0.83233756606
West Bengal,Birbhum,0.613371864359
Manipur,Bishnupur,0.191906484124
Jharkhand,Bokaro,0.59648913469
Assam,Bongaigaon,0.349998914882
Uttar Pradesh,Budaun,0.887863193004
Uttar Pradesh,Bulandshahr,1.18257252016
Maharashtra,Buldana,-0.00541540586692
Rajasthan,Bundi,-0.460793883811
Madhya Pradesh,Burhanpur,-0.371631695199
Bihar,Buxar,0.162589521738
Assam,Cachar,0.0271196050149
Mizoram,Champhai,-0.248150212842
Karnataka,Chamrajnagar,0.0217272633581
Uttar Pradesh,Chandauli,-0.651343315707
Manipur,Chandel,0.294378060107
Maharashtra,Chandrapur,-0.529023429491
Arunanchal Pradesh,Changlang,-1.03949637643
Jharkhand,Chatra,0.177086570553
Madhya Pradesh,Chhatarpur,0.430365636622
Madhya Pradesh,Chhindwara,0.0160156557235
Karnataka,Chikkaballapura,0.46069955597
Karnataka,Chikmagalur,0.20805059639
Assam,Chirang,0.148008220608
Karnataka,Chitradurga,0.576212597856
Uttar Pradesh,Chitrakoot,0.346560206776
Rajasthan,Chittaurgarh,-0.421638973783
Andhra Pradesh,Chittoor,0.114762474561
Manipur,Churachandpur,-0.0253564518286
Rajasthan,Churu,-1.22584153096
Tamil Nadu,Coimbatore,1.33301199017
Tamil Nadu,Cuddalore,1.10894683042
Odisha,Cuttack,-0.0888210520871
Dadara & Nagar Havelli,Dadra & Nagar Haveli,-0.327604926232
Chhattisgarh,Dakshin Bastar Dantewada,-0.502606211764
West Bengal,Dakshin Dinajpur,-0.0236008114579
Karnataka,Dakshina Kannada,0.323544361416
Madhya Pradesh,Damoh,0.180177234612
Bihar,Darbhanga,0.539663817515
Assam,Darrang,0.442414836311
Madhya Pradesh,Datia,0.598327310672
Rajasthan,Dausa,-0.891693744478
Karnataka,Davanagere,0.886706986976
Odisha,Debagarh,-0.59754153221
Jharkhand,Deoghar,1.08230000306
Uttar Pradesh,Deoria,1.50921129649
Madhya Pradesh,Dewas,-0.32206344017
Chhattisgarh,Dhamtari,-1.18244831538
Jharkhand,Dhanbad,0.205521536625
Madhya Pradesh,Dhar,0.119114857693
Tamil Nadu,Dharmapuri,0.745616660323
Karnataka,Dharwad,1.07939376269
Rajasthan,Dhaulpur,-0.825069075044
Assam,Dhemaji,-0.265830997291
Odisha,Dhenkanal,-1.0712405183
Assam,Dhubri,0.897668058041
Maharashtra,Dhule,-0.0165730050816
Arunanchal Pradesh,Dibang Valley,-0.553671878106
Assam,Dibrugarh,0.0581860310028
Assam,Dima Hasao,-0.355672089637
Nagaland,Dimapur,0.0922266268865
Tamil Nadu,Dindigul,0.324058466441
Madhya Pradesh,Dindori,0.032953335715
Daman & Diu,Diu,0.649351090644
Gujarat,Dohad,-0.847631622114
Jharkhand,Dumka,0.424375292429
Rajasthan,Dungarpur,-0.42112040503
Chhattisgarh,Durg,-1.15670141618
Sikkim,East,-0.635550230653
Meghalaya,East Garo Hills,0.239934610801
Andhra Pradesh,East Godavari,-0.191438924952
Arunanchal Pradesh,East Kameng,-0.761649902542
Meghalaya,East Khasi Hills,0.148539349215
Madhya Pradesh,East Nimar,-0.333560992336
Arunanchal Pradesh,East Siang,-0.334556670469
Kerala,Ernakulam,0.841709993431
Tamil Nadu,Erode,0.363076318662
Uttar Pradesh,Etah,1.1979502671
Uttar Pradesh,Etawah,0.980461390991
Uttar Pradesh,Faizabad,1.40081928754
Punjab,Faridkot,-1.09737266502
Uttar Pradesh,Farrukhabad,1.51684296852
Haryana,Fatehabad,-1.43054979439
Punjab,Fatehgarh Sahib,-0.320745893704
Uttar Pradesh,Fatehpur,0.786700481776
Uttar Pradesh,Firozabad,0.484429049918
Punjab,Firozpur,-0.665689975357
Karnataka,Gadag,0.526348498297
Odisha,Gajapati,-0.538727154077
Jammu & Kashmir,Ganderbal,-0.461009218809
Gujarat,Gandhinagar,0.0259017266878
Rajasthan,Ganganagar,-0.587610916063
Odisha,Ganjam,0.0955642323082
Maharashtra,Garhchiroli,-0.826196760232
Jharkhand,Garhwa,-0.210177667517
Bihar,Gaya,0.531193872357
Uttar Pradesh,Ghaziabad,0.663954046299
Uttar Pradesh,Ghazipur,1.05067534586
Jharkhand,Giridih,0.411910099631
Assam,Goalpara,0.42433399371
Jharkhand,Godda,0.39131092602
Assam,Golaghat,0.396347171133
Uttar Pradesh,Gonda,1.5532546973
Maharashtra,Gondiya,-0.980442400378
Bihar,Gopalganj,0.924475957117
Uttar Pradesh,Gorakhpur,0.810417736101
Karnataka,Gulbarga,-0.358225040688
Jharkhand,Gumla,-0.483513527049
Madhya Pradesh,Guna,0.156150385579
Andhra Pradesh,Guntur,0.126102069823
Punjab,Gurdaspur,-1.05187320881
Madhya Pradesh,Gwalior,0.243408566382
Assam,Hailakandi,-0.104674030512
Uttar Pradesh,Hamirpur,1.04881358116
Himachal Pradesh,Hamirpur,-0.51220411392
Rajasthan,Hanumangarh,-0.70725354103
West Bengal,Haora,0.247778279462
Madhya Pradesh,Harda,-0.017099000245
Uttar Pradesh,Hardoi,0.443950243286
Uttarakhand,Hardwar,-1.61007044121
Karnataka,Hassan,0.671048498686
Karnataka,Haveri,0.17142649569
Jharkhand,Hazaribagh,0.376243168131
Maharashtra,Hingoli,-0.157767805725
Haryana,Hisar,-1.16306426725
Madhya Pradesh,Hoshangabad,-0.260964209179
Punjab,Hoshiarpur,-0.502202949637
West Bengal,Hugli,-0.520134394793
Kerala,Idukki,-0.537397940797
Manipur,Imphal East,1.3201624923
Manipur,Imphal West,-0.344181181626
Madhya Pradesh,Indore,0.599884478583
Madhya Pradesh,Jabalpur,0.557139788226
Odisha,Jagatsinghapur,0.821061536346
Meghalaya,Jaintia Hills,-0.387337720101
Rajasthan,Jaipur,-0.54971721616
Rajasthan,Jaisalmer,-0.454593702634
Odisha,Jajapur,-1.01452212999
Punjab,Jalandhar,-0.720318949361
Uttar Pradesh,Jalaun,0.613063971717
Maharashtra,Jalgaon,0.17848911128
Maharashtra,Jalna,-0.332013995839
Rajasthan,Jalor,-0.578928706198
West Bengal,Jalpaiguri,0.301312448161
Jammu & Kashmir,Jammu,-0.723951601734
Gujarat,Jamnagar,0.344452457837
Jharkhand,Jamtara,0.858210901806
Bihar,Jamui,0.549976916984
Chhattisgarh,Janjgir-champa,-1.09195692692
Chhattisgarh,Jashpur,0.0522299966637
Uttar Pradesh,Jaunpur,1.02325909456
Bihar,Jehanabad,0.592502153392
Madhya Pradesh,Jhabua,-0.0598303646334
Haryana,Jhajjar,-1.10778725324
Rajasthan,Jhalawar,-0.442430924691
Uttar Pradesh,Jhansi,0.993222248051
Odisha,Jharsuguda,-0.637150387384
Rajasthan,Jhunjhunun,-1.17681028584
Haryana,Jind,-1.39812730024
Rajasthan,Jodhpur,-0.391366731284
Assam,Jorhat,0.00150448419914
Gujarat,Junagadh,-0.659817446859
Uttar Pradesh,Jyotiba Phule Nagar,0.88733799461
Chhattisgarh,Kabeerdham,0.153493457756
Gujarat,Kachchh,-0.399882463441
Bihar,Kaimur (bhabua),0.256678188418
Haryana,Kaithal,-1.50097540367
Odisha,Kalahandi,-0.304810583438
Assam,Kamrup,0.179358198477
Assam,Kamrup Metropolitan,0.345756353112
Tamil Nadu,Kancheepuram,1.18928996145
Odisha,Kandhamal,-0.723290757679
Uttar Pradesh,Kannauj,0.682132482823
Tamil Nadu,Kanniyakumari,0.625228679586
Kerala,Kannur,0.362258189668
