State,Month,Year
Andhra Pradesh,5,2014
Arunachal Pradesh,4,2014
Assam,4,2016
Bihar,10,2015
Chhattisgarh,11,2013
Delhi,2,2015
Goa,2,2017
Gujarat,12,2012
Haryana,10,2014
Himachal Pradesh,11,2012
Jammu and Kashmir,12,2014
Jharkhand,12,2014
Karnataka,5,2013
Kerala,5,2016
Madhya Pradesh,12,2013
Maharashtra,10,2014
Manipur,3,2017
Meghalaya,2,2013
Mizoram,11,2013
Nagaland,2,2013
Odisha,4,2014
Puducherry,5,2016
Punjab,2,2017
Rajasthan,11,2013
Sikkim,4,2014
Tamil Nadu,5,2016
Telangana,4,2014
Tripura,2,2013
Uttar Pradesh,2,2017
Uttarakhand,2,2017
West Bengal,4,2016
