DISTRICT,PK,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
South Andaman,640,94.9,0.558938298,1920,1.489138014,3.624205439,27.7,0.18498276,0,11.6,1.80051124,0.933582375,282,10.6,13.1,59.6,0.075610981,0.491766814
Nicobar,638,99.6,0.374299839,1230,0.695424178,0.403166832,17.9,0,0,4.116979316,0,2.631591391,241,5.819983307,0.882904083,88.9,0.112487556,3.827190924
North & Middle Andaman,639,104,1.850699939,2640,1.946544788,5.453927571,38.6,0.40675801,0.231973699,64.5,3.050149075,1.000332616,340,7.759433101,0,161,0.447024278,0.094550569
Lawangtlai,287,0,0,1070,0,0,20.6,0,0,868,1.335547759,0,0.184117813,2.711482503,0,29,0,0
Lunglei,286,0,0,3890,0,0,44.3,0,0,565,0.819342409,0,0.230629065,1.947699496,0,17.3,0,0
Saiha,288,0,0,1730,0,0,65.8,0,0,167,0,0,0,1.52594059,0,6.949627269,0,0
Dibang Valley,257,30.1,689,44,1.886461617,2.189173768,3820,0,156,53.8,4.507496572,2020,0.464014137,0.454028983,0,6.494969789,578,3.794386721
Upper Siang,252,18.3,846,619,0.545952906,0.861887974,4400,0.244850103,32.5,25.6,1.331616781,610,27.4,1.53946935,0,2.152075663,184,0.820354427
Lower Dibang Valley,258,10.5,286,877,0.236435279,1.574909737,3350,5.824915756,80.1,232,16.8,392,19.9,109,2.96021476,278,24.6,1.8242872
Tuensang,267,0,2.683643126,1280,0,1.064316814,917,0,0,160,0.187649149,0.589836732,0,2.313232544,0,104,0,0
Mon,261,0,0,1390,0,1.212753302,95.9,0.18682699,0,262,2.867700758,0,0.799291615,3.468682312,0,79.9,0,0
Tirap,254,0,1.8560849,1710,0,0,216,0.231018596,0,82.3,0,0,0.23071795,0,0,22.6,0,0
Sivasagar,311,0.08448215,0,142,0,0,10.9,0.642405992,16,454,9.667729409,6.067682566,3.975133503,1460,9.204754999,517,0,2.053433525
Changlang,253,0.353063467,113,3150,0.176564326,0.238282207,1170,1.731685896,6.052941628,122,8.003504417,78,6.177488069,43.2,0,333,1.62522518,0
Lohit,259,2.833850445,86.9,0,0.194127036,2.141042005,1130,12.3,23.8,305,37.1,94.5,36.9,138,2.631680231,404,0.473582247,0.893446174
Anjaw,260,13.9,653,275,1.884283912,3.020089652,3930,6.266664025,58.9,79.2,5.653394356,1410,10.7,3.488674796,1.325143349,2.223536933,53,1.646184223
Tinsukia,309,10.9,0.176274443,826,0,0.237935099,104,14.8,45.1,1190,38.8,78.5,63,312,14.3,1070,0,20.1
Dhemaji,308,39.7,0.176531733,123,0,0.220235147,7.81525406,10.3,70,58.8,4.806753446,100,21,1190,1.44843547,942,0.220450742,41.3
Dibrugarh,310,128,0.238326519,179,0,0,24.4,14.5,154,563,23,203,24.7,812,28.9,1100,0,143
East Siang,251,3.080701974,26.9,1810,0,0.448781571,1090,16,15.7,163,21.7,37.2,88.1,131,4.324944201,320,0.39597354,11.4
West Siang,250,6.596442675,1130,2960,0.637850615,6.895678112,3380,1.042463714,5.065353362,65.5,4.37214274,230,20.8,21.2,0,62.8,40.8,0
Upper Subansiri,249,15.8,1650,1070,0.621177435,2.189685269,3050,0,33.5,17.7,3.414580649,337,1.554391033,4.090102321,0,2.084171412,207,14.9
Jorhat,312,98.1,0.177642285,199,0,0.177732105,18.8,8.987863232,146,249,6.824146185,170,17.3,1070,8.582071151,931,0.461619065,78.4
Lakhimpur,307,7.996995786,0.239304373,114,0,0,53.2,4.986486651,52,250,10.1,48.5,13.2,934,5.625292053,1370,0,17.9
Lower Subansiri,255,0,74.2,1200,0.697482221,0.424315077,1150,3.901135325,0.032701666,29.3,0,1.364064782,10.2,9.961440615,0,5.783861829,0,0
Papum Pare,248,1.535851691,271,2110,0,0,1140,0,0.444717921,120,4.483124219,2.011343756,1.807887993,24.9,7.917918763,98.4,0,0
Kurung Kumey,256,19.8,1540,565,0.429297589,1.073482709,3880,0,50.5,29.7,3.880817495,342,0.486828741,0.228907022,0,1.841593035,321,35.4
East Kameng,247,3.819072512,889,2230,0.609044165,1.228526725,2430,0.308820378,32.9,58.9,1.473704551,117,4.731590761,10.2,0,15.6,147,52.1
West Kameng,246,0.032509714,726,1090,0,6.685903603,2910,6.079959343,18.8,147,1.96260185,274,2.380827653,16.5,0.647198291,30.3,21.9,12.2
Tawang,245,5.82395333,458,3.559130782,0.555311704,14.9,845,3.660290388,32.5,46,3.175991011,836,0.55689638,1.810320023,0,46.9,33.4,25.8
Sonitpur,306,170,0.417210625,388,0,0.709797042,69.9,11.3,170,228,23.6,213,42.4,968,15,2800,0,96.1
Golaghat,313,48.1,0.231301456,134,0,0.409359207,44.5,5.003297306,52.5,448,35.9,82.1,50.6,856,2.137655623,1580,0,22.2
Karbi Anglong,314,0,0,5260,0,0.420758596,451,0.355252002,0.232230104,3300,14.8,0.700860109,0.932634746,580,7.623523347,800,0,0
Nagaon,305,3.52492533,0,308,0,0.666414796,87.8,0.917495621,11.4,441,13.6,17.5,42.8,2440,24.1,600,0,4.211675758
Marigaon,304,44,0,17.7,0,0,27.9,1.256913479,37.6,98.5,3.118046935,59.2,29.7,971,2.600419919,231,0,21.9
Jaintia Hills,299,0,0,1870,0,0,572,4.68572919,3.841809657,874,17.7,25.2,6.154291687,131,4.468607437,292,0,0
Dima Hasao,315,4.798937561,0,3190,0,0.359945454,235,3.228069287,0.188777156,1320,5.37207776,0,9.987100156,21.2,5.476342187,114,0,0.233644613
