DISTRICT,DN_00,DN_01,DN_02,DN_03,DN_04,DN_05,DN_06,DN_07,DN_08,DN_09,DN_10,DN_11,DN_12,DN_13,DN_14,DN_15,DN_16,DN_17,DN_18,DN_19,DN_20,DN_21,DN_22,DN_23,DN_24,DN_25,DN_26,DN_27,DN_28,DN_29,DN_30,DN_31,DN_32,DN_33,DN_34,DN_35,DN_36,DN_37,DN_38,DN_39,DN_40,DN_41,DN_42,DN_43,DN_44,DN_45,DN_46,DN_47,DN_48,DN_49,DN_50,DN_51,DN_52,DN_53,DN_54,DN_55,DN_56,DN_57,DN_58,DN_59,DN_60,DN_61,DN_62,DN_63,mean,sum,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
Adilabad,5237.12211,0,0,0.761018063,1815.669729,3332.378874,2043.898517,1049.048695,657.4597205,453.0592403,310.8509131,215.6637044,151.7962861,124.882201,103.5049244,67.48915441,60.64168954,50.21863463,45.87360161,26.37246108,24.71000638,27.19359814,26.72337659,17.44261431,11.34608181,15.56766282,10.31977687,12.4768527,5.255191009,11.26463304,10.31008545,8.620621057,4.736981276,10.99755385,5.042501371,5.583869692,7.022464147,4.997418305,3.257166902,8.317301648,4.851166019,2.537800329,4.066522382,2.450914726,6.081912984,2.624673345,2.37082324,4.05399154,4.06089969,3.213862031,4.059255059,0.936853545,1.604440571,0.843041357,1.608425269,3.402445674,4.138176612,1.686207295,2.363510347,2.366204493,0.761393988,2.276398529,0.758774602,0,44872.43017,76648441966,90.5,0,0,0,48.3,1270,20.6,6.903169401,3450,11,27.3,3.496148551,8010,116,2980,0,2.819042646
Agra,401.6643275,0,0,0,48.53911847,451.3627452,620.7682557,441.5686869,307.5833869,252.5760478,224.4209765,186.3780829,161.5581196,109.9986012,73.89440902,61.61632422,44.43178303,45.00127762,44.35777632,36.87038104,28.32301242,26.89021628,23.69266083,21.87956879,18.42115582,15.04001706,21.30654254,10.70990008,15.24012957,9.423996439,13.72517654,13.26730796,7.573439597,6.564956406,8.849750631,6.1574495,7.986226796,8.882064024,7.49710362,3.110587168,7.753128789,5.341569423,4.764377594,4.23939792,3.921187302,3.747082524,5.980390153,9.108309663,5.344420361,5.980712117,2.313102724,6.316166559,3.03997797,4.005224439,5.980822258,7.664076123,4.625273936,8.372919285,7.185671104,6.948148666,6.858541716,15.08020214,22.82638525,81.42207246,104525.6033,47432094334,0,0,0,0,0,0,0.65563074,5.766291591,0.460553432,0,2.80210381,0.18596188,3830,168,15,0,0
Ahmadabad,1517.130217,0,0,14.18896148,1274.942045,1784.849088,816.6816722,461.0160438,302.2314797,219.35294,154.364098,154.1433971,101.8959337,77.62488865,57.83347218,62.74531856,51.65984448,38.90929516,29.40793527,37.75565924,37.96127996,36.16909114,27.19296623,21.53787201,16.09252004,30.37802156,19.57510451,21.24309076,14.15207173,21.52074825,17.15716908,20.7930644,19.57177635,14.0399968,10.39552623,18.61349028,13.03220519,8.526707186,6.197332836,11.05647441,12.72598702,9.92554437,10.55582222,7.089164327,11.339596,11.49863812,7.945707274,7.39189352,2.391510128,2.80492789,11.01339715,8.970943415,5.855607024,9.384812715,9.718510988,11.09021711,10.57324526,6.101729433,5.615617309,11.19954063,14.31776071,20.66315543,96.55213878,170.8234857,85304.23909,74493141117,56.3,0,0,0.184486265,0,1.634558994,4.420996868,509,2.803638945,0,266,9.548162628,6130,283,736,0.969645449,18.3
Ahmadnagar,984.5225228,0,0,3.122405924,1756.19357,3855.194414,2683.53151,1989.690949,1469.145589,996.4864123,738.8363652,526.7766294,404.2628364,357.6677371,271.2348096,198.8101855,130.4398887,107.8861039,74.15101131,54.10470673,47.94878913,31.86919663,28.60849595,26.75400697,26.63675626,15.9528266,14.97655855,13.91557134,18.69212939,6.501963795,15.06799309,11.23275012,11.36520903,6.505237793,8.295684252,7.853776979,8.181355503,12.34146309,3.383370995,7.093677393,2.543276208,2.365371554,10.29943668,7.67831656,5.649322813,2.722150391,7.175759522,5.403985496,1.603996189,4.152264061,5.842820647,6.250768588,8.049287419,4.901021184,3.127882593,2.284520651,4.814997854,4.73755166,7.188130418,3.885169077,6.786893191,6.513692479,14.65385796,0,70487.98658,1.28E+11,119,0,1.177964292,0,3.681358135,42.7,26.3,10.5,93.1,4.617110836,1.613678386,18.1,15800,259,667,0,10.8
Aizawl,3412.585161,0,0,0,49.31020369,102.0215821,42.98980124,27.31912411,19.88848617,8.558212179,3.94607125,4.847538727,3.116422663,6.242040722,3.854721296,0.820379127,3.116488896,3.116228043,2.296502066,0.738249302,0.738154846,3.03411359,3.936835993,0.820020015,2.952808251,0.820224536,0,0.91113335,0.820277002,0,1.476130588,2.469565197,1.558334619,0.820020015,1.558269316,1.649609897,0,2.296337478,0,0.820072549,0,0.820172051,0.820122314,3.20771572,0,0.820122314,0.820224536,0,0.820172051,1.476264929,0,1.476264929,0,0,0,0,0,0,0,0,0,0,0,0,7430.005171,3044414578,0,0,3530,0,0.783623403,30.7,0,0,122,0.555737266,0,0,5.485917776,4.802256742,35.1,0,0
Ajmer,3903.045476,0,0,1.613033242,386.3059399,1286.755483,648.5549075,490.4167145,281.3685094,225.4882358,198.4868164,132.0572171,92.49899112,92.04025628,75.28110293,61.61564833,54.44890783,48.83409969,26.86749675,32.48003669,32.68998206,22.10141423,14.96226587,18.19758984,16.18030021,19.89884252,17.91822814,16.80265405,15.35793076,8.275843967,13.0361971,10.77918167,11.02343925,9.013232969,11.41176926,9.970546818,11.22225993,8.350017292,10.7878236,11.66686585,8.604770248,6.985692252,8.266710225,3.868809195,8.364674962,8.80818506,6.668203192,9.074750493,10.1630677,4.752010934,4.575784777,5.466418196,6.112093987,6.178019163,4.4972323,5.377782884,7.163081531,8.779741911,6.340991008,6.025732843,8.515083905,14.21423618,14.61926478,20.80226818,50755.32807,48417767157,0,0,0,0,0,11,0.420080139,232,5.876576257,0,1500,0.403731411,6570,66.1,122,0,22.3
Akola,445.4362164,0,0,0,1088.964598,1985.741466,948.7587994,358.7931445,134.9691815,73.81288157,54.5568502,46.64807045,25.97977229,27.64700734,26.5749045,11.23114903,13.57395651,8.629578313,15.3436757,8.134184165,10.2161845,9.71717128,5.691326203,4.521629338,7.962270044,4.865212755,4.856328448,2.603877302,3.357990072,3.099265941,2.343744186,1.591572322,3.849499881,5.700884995,3.946818361,4.028245863,1.589420716,0,3.350839067,3.099218008,0,1.591579028,2.345605798,0.837776391,0.930862656,1.591526322,0.754040153,0.753756636,3.267144055,2.429130146,0.753918117,1.507635483,0.753795932,4.867675381,0.837776391,0.837776391,0.753957352,1.591393052,1.591565645,2.43841675,1.507875469,4.020592595,2.429197636,7.213063325,55259.42565,32111387252,2.171907639,0,0,0,0,5.007926519,4.661451346,0,38,0.463718599,0.417075072,0.186452871,4860,137,361,0,1.920504657
Alappuzha,0,0,0,0,17.23208359,54.8536914,65.70201124,89.68451073,120.8059424,88.31825097,81.51165195,134.2860163,162.5734411,119.1599224,94.3781356,79.86879781,75.62301464,51.65718615,35.94629366,37.79850102,22.69865745,19.0563759,15.05047402,12.02395141,7.175326542,3.129605137,5.028950371,5.687047195,3.351681633,1.085099048,2.446520793,0,2.380006444,2.557918946,1.587683092,0.793860829,0.793804034,0.88202591,0.793842592,1.675886739,2.469729331,0,0.793842592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121545.0799,17617892121,107,0.186153278,320,1.712729277,10.8,65.5,0.249957168,0,257,6.466678204,0,241,245,8.934483979,156,0.100029469,0.725710967
Aligarh,1382.565238,0,0,0,104.6816506,849.944739,522.4489934,248.5072922,142.4860759,74.66407601,61.49051933,41.3785913,35.70660154,29.66768239,26.97888996,17.06595316,16.57002773,9.755118977,4.603667073,8.959759334,7.525725093,3.813174257,4.436641664,4.516015605,4.602974104,4.515490266,8.158422814,6.109076935,2.29737172,3.809534402,3.00961156,2.297851189,3.010089415,4.516602775,4.516691638,1.425755039,3.009310698,4.851187138,4.595299687,2.306366558,1.505674187,0.791638198,2.384731891,2.305883818,4.770993113,3.010801737,6.021965619,1.673090536,1.426185633,3.890661878,0.792415537,2.297069752,1.584950028,0.713336186,0.792177158,4.35800359,3.724833709,2.852591432,3.803933556,1.426400112,3.882435329,7.290785364,10.17854073,11.41084148,50413.7733,21441818214,0,0,0,0,0,0,0.229001912,3.402662359,0,0,1.800020754,0,3640,92.3,7.54686929,0,0.228473853
Alirajpur,3061.116912,0,0,0,97.96679519,106.207973,19.07374361,15.27352634,3.976514355,1.491593449,0.828832219,3.811887791,3.149008638,3.231847079,1.574563315,0.920924688,1.574494621,0.828735947,0,0.828637012,2.237408921,1.49163561,0.920762764,1.491766866,0.828782793,0.828590107,0.745731097,0.828686487,0.745862353,0,0.745773311,0,0,1.491635663,0.828686487,0,0.745862353,0.828686487,0,0.828735947,1.574410322,0,0,0.828686487,0,0.920762764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5440.083804,1973947230,0.710607347,0,0.616478379,0,4.679803741,74.6,10.2,14.2,74.4,2.409065214,8.987346153,2.376619009,2560,2.31005298,585,0,5.219601732
