DISTRICT,101,Area
Adilabad,532,16040.98
Agra,146,4025.95
Ahmadnagar,522,17053.85
Aizawl,283,3731.75
Ajmer,119,8522.06
Akola,501,5406.78
Alappuzha,598,1420.87
Aligarh,143,3743.72
Alirajpur,465,3340.78
Allahabad,175,5216.9
Alwar,104,8307.06
Ambala,70,1512.43
Ambedkar Nagar,178,2315.27
Amravati,503,12207.54
Amreli,480,7910.31
Amritsar,49,2659.82
Anand,482,2916.78
Anantapur,553,19224.23
Anjaw,260,6513.01
Anugul,384,6357.93
Anuppur,461,3782.18
Araria,209,2806.01
Ariyalur,616,1951.66
Arwal,240,665.15
Ashoknagar,459,4726.33
Auraiya,162,2006.71
Aurangabad,235,3276.8
Aurangabad,515,10115.8
Azamgarh,191,4270.54
Badgam,2,1284.71
Bagalkot,556,6570.46
Baghpat,139,1328.8
Bahraich,180,4325.84
Baksa,324,2370.91
Balaghat,457,9241.46
Balangir,393,6563.35
Baleshwar,377,3876.04
Ballia,193,3004.29
Balrampur,182,3323.86
Banas Kantha,469,10658.05
Banda,170,4532.39
Bandipore,9,2297.85
Bangalore Rural,583,2305.92
Banka,225,3099.58
Bankura,339,6948.44
Banswara,125,4506
Bara Banki,176,3792.8
Baran,128,6820.28
Barddhaman,335,7025.38
Bareilly,150,3784.99
Bargarh,370,5794.05
Barmer,115,28420.51
Barnala,54,1485.28
Barpeta,303,2310.61
Barwani,441,5436.07
Bastar,414,10345.84
Basti,185,2883
Bathinda,46,3369.45
Bauda,391,3116.37
Begusarai,222,1936.22
Belgaum,555,13396.42
Bellary,565,8443.56
Betul,447,10065.11
Bhadrak,378,2479.34
Bhagalpur,224,2542.17
Bhandara,506,3858.92
Bharatpur,105,5055.65
Bharuch,488,5279.73
Bhavnagar,481,8371.93
Bhilwara,122,10463.23
Bhind,420,4467.54
Bhiwani,81,4624.09
Bhojpur,231,2370.53
Bhopal,444,2723.7
Bid,523,11045.25
Bidar,558,5446.3
Bijapur,417,8782.38
Bijapur,557,10508.38
Bijnor,134,4318.3
Bikaner,101,30224.73
Bilaspur,30,1168.05
Bilaspur,406,8337.43
Birbhum,334,4545.97
Bishnupur,275,480.37
Bokaro,355,2795.89
Bongaigaon,319,1052.31
Budaun,149,5077.66
Bulandshahr,142,3560.22
Buldana,500,9750.95
Bundi,121,5581.93
Burhanpur,467,3201.13
Buxar,232,1707.68
Cachar,316,3784.3
Central,95,15.1
Champhai,284,3350.62
Chamrajnagar,578,5667.86
Chandauli,196,2532.36
Chandel,280,3183.68
Chandigarh,55,118.3
Chandrapur,509,11303.54
Changlang,253,5039.47
Chatra,347,3752.54
Chhatarpur,425,8674.83
Chhindwara,455,11804.08
Chikkaballapura,582,4218.46
Chikmagalur,570,7213.36
Chirang,320,1730.62
Chitradurga,566,8449.38
Chitrakoot,171,3081.94
Chittaurgarh,126,7645.26
Chittoor,554,15173.66
Churachandpur,274,4578.5
Churu,102,13896.04
Coimbatore,632,4654.36
Cuddalore,617,3701.35
Cuttack,381,3940.47
Dadra & Nagar Haveli,496,493.38
Dakshin Bastar Dantewada,416,8873.26
Dakshin Dinajpur,331,2168.39
Dakshina Kannada,575,4589.78
Daman,495,73.56
Damoh,428,7351.5
Darbhanga,215,2286.18
Darrang,325,1612.1
Datia,422,1886.23
Dausa,109,3477.77
Davanagere,567,5946.53
Debagarh,373,2809.37
Deoghar,350,2436.19
Deoria,190,2554.07
Dewas,437,6965.38
Dhamtari,412,4058.06
Dhanbad,354,2129.37
Dhar,438,8151.01
Dharmapuri,630,4517.74
Dharwad,562,4275.5
Dhaulpur,106,3027.53
Dhemaji,308,2606.35
Dhenkanal,383,4469.91
Dhubri,301,2297.11
Dhule,498,7185.05
Dibang Valley,257,7411.71
Dibrugarh,310,3395.54
Dima Hasao,315,4905.1
Dimapur,265,811.3
Dindigul,612,6070.87
Dindori,453,5703.18
Diu,494,35.65
Dohad,485,3595.57
Dumka,362,3766.7
Dungarpur,124,3786.3
Durg,409,8598.95
East,93,65.26
East Garo Hills,294,2930.84
East Godavari,545,10843.54
East Kameng,247,6003.57
East Khasi Hills,298,2804.73
East Nimar,466,7447.6
East Siang,251,3740.5
Ernakulam,595,2410.63
Erode,610,5763.37
Etah,201,2512.96
Etawah,161,2325.27
Faizabad,177,2735.91
Faridabad,88,840.98
Faridkot,45,1450.75
Farrukhabad,159,2184.94
Fatehabad,78,2404.08
Fatehgarh Sahib,40,1142.91
Fatehpur,172,4175.09
Firozabad,147,2402.89
Firozpur,43,5204.2
Gadag,561,4644.23
Gajapati,389,4057.27
Ganderbal,11,1069.82
Gandhinagar,473,2137.09
Ganganagar,99,10684.09
Ganjam,388,8477.54
Garhchiroli,508,14447.77
Garhwa,346,4102.29
Gautam Buddha Nagar,141,1409.17
Gaya,236,4962.3
Ghaziabad,140,1977.55
Ghazipur,195,3381.97
Giridih,349,5005.04
Goalpara,302,2011.05
Godda,351,2237.86
Golaghat,313,3365.45
Gonda,183,4036.05
Gondiya,507,5471.72
Gopalganj,217,2038.64
Gorakhpur,188,3361.92
Gulbarga,579,10966.11
Gumla,366,5354.61
Guna,458,6302.23
Guntur,548,11431.37
Gurdaspur,35,3619.17
Gurgaon,86,1237.24
Gwalior,421,5218.94
Hailakandi,318,1331.97
Hamirpur,28,1123.5
Hamirpur,168,4261.5
Hanumangarh,100,9930.49
Haora,341,1447.05
Harda,448,3317.42
Hardoi,155,6010.32
Hardwar,68,2388.39
Hassan,574,6812.55
Haveri,564,4810.12
Hazaribagh,360,3601.56
Hingoli,512,4690.25
Hisar,80,4200.84
Hoshangabad,449,6711.23
Hoshiarpur,38,3366.68
Hugli,338,3144.4
Idukki,596,5007.08
Imphal East,278,920.55
Imphal West,277,300.48
Indore,439,3914.95
Jabalpur,451,5107.28
Jagatsinghapur,380,1738.39
Jaintia Hills,299,3796.88
Jaipur,110,11265.21
Jaisalmer,114,38442.31
Jajapur,382,2895.53
Jalandhar,37,2605.7
Jalaun,165,4571.54
Jalgaon,499,11771.34
Jalna,514,7770.15
Jalor,116,10731.95
Jalpaiguri,328,6222.01
Jammu,21,2007.69
Jamnagar,477,10901.53
Jamtara,363,1800.97
Jamui,238,3047.21
Janjgir-champa,405,3867.89
Jashpur,402,5804.46
Jaunpur,194,4032.04
Jehanabad,239,930.2
Jhabua,464,3436.4
Jhajjar,83,1937.89
Jhalawar,129,6256.1
Jhansi,166,5066.52
Jharsuguda,371,2115.51
Jhunjhunun,103,5922.9
Jind,77,2708.69
Jodhpur,113,22866.9
Jorhat,312,2997.94
Junagadh,479,8276.57
Jyotiba Phule Nagar,137,2272.61
Kabeerdham,407,4219.94
Kachchh,468,42128.37
Kaimur (bhabua),233,3346.27
Kaithal,73,2299.96
Kalahandi,395,7898.48
Kamrup,321,2906.28
Kamrup Metropolitan,322,1207.57
Kancheepuram,604,4624.21
Kandhamal,390,8045.19
Kannauj,160,2074.81
Kanniyakumari,629,1689.67
Kannur,589,2948.16
Kanpur Dehat,163,3212.52
Kanpur Nagar,164,2878.74
Kansiram Nagar,202,1966.07
Kapurthala,36,1661.29
Karaikal,637,153.28
