,0,1,2,3,4,5
PCA_0,"0.21,H2","0.19,M2","0.18,M1","0.18,L2","0.17,H1","0.07,L1"
PCA_1,"0.23,H2","0.19,M2","0.18,H1","0.15,M1","0.12,L2","0.12,L1"
PCA_2,"0.29,L2","0.27,H2","0.13,L1","0.12,M1","0.11,H1","0.08,M2"
PCA_3,"0.29,H2","0.25,L1","0.17,L2","0.11,H1","0.1,M1","0.09,M2"
PCA_4,"0.28,L1","0.24,H2","0.15,L2","0.12,M2","0.11,H1","0.1,M1"
PCA_5,"0.26,M1","0.21,H2","0.16,M2","0.13,L2","0.12,L1","0.11,H1"
PCA_6,"0.22,H1","0.2,M1","0.18,L1","0.15,H2","0.13,M2","0.12,L2"
PCA_7,"0.36,L1","0.2,H2","0.17,L2","0.13,M1","0.08,H1","0.06,M2"
PCA_8,"0.22,H2","0.21,L1","0.16,M1","0.15,L2","0.15,M2","0.1,H1"
PCA_9,"0.24,L1","0.19,L2","0.18,M1","0.15,H2","0.15,H1","0.08,M2"
