DISTRICT,101,DN_00,DN_01,DN_02,DN_03,DN_04,DN_05,DN_06,DN_07,DN_08,DN_09,DN_10,DN_11,DN_12,DN_13,DN_14,DN_15,DN_16,DN_17,DN_18,DN_19,DN_20,DN_21,DN_22,DN_23,DN_24,DN_25,DN_26,DN_27,DN_28,DN_29,DN_30,DN_31,DN_32,DN_33,DN_34,DN_35,DN_36,DN_37,DN_38,DN_39,DN_40,DN_41,DN_42,DN_43,DN_44,DN_45,DN_46,DN_47,DN_48,DN_49,DN_50,DN_51,DN_52,DN_53,DN_54,DN_55,DN_56,DN_57,DN_58,DN_59,DN_60,DN_61,DN_62,DN_63,mean,sum,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated,MSL_1,MSL_2,MSL_3,MSW_1,MSW_2,MSW_3,CHH_1,CHH_2,CHH_3,FC_1,FC_2,FC_3,BF_1,BF_2,BF_3,EMP_1,EMP_2,EMP_3,asset_1,asset_2,asset_3
Adilabad,532,5237.12,0,0,0.76,1815.67,3332.38,2043.9,1049.05,657.46,453.06,310.85,215.66,151.8,124.88,103.5,67.49,60.64,50.22,45.87,26.37,24.71,27.19,26.72,17.44,11.35,15.57,10.32,12.48,5.26,11.26,10.31,8.62,4.74,11,5.04,5.58,7.02,5,3.26,8.32,4.85,2.54,4.07,2.45,6.08,2.62,2.37,4.05,4.06,3.21,4.06,0.94,1.6,0.84,1.61,3.4,4.14,1.69,2.36,2.37,0.76,2.28,0.76,0,44872.43,76648441966,90.5,0,0,0,48.3,1270,20.6,6.9,3450,11,27.3,3.5,8010,116,2980,0,2.82,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Agra,146,401.66,0,0,0,48.54,451.36,620.77,441.57,307.58,252.58,224.42,186.38,161.56,110,73.89,61.62,44.43,45,44.36,36.87,28.32,26.89,23.69,21.88,18.42,15.04,21.31,10.71,15.24,9.42,13.73,13.27,7.57,6.56,8.85,6.16,7.99,8.88,7.5,3.11,7.75,5.34,4.76,4.24,3.92,3.75,5.98,9.11,5.34,5.98,2.31,6.32,3.04,4.01,5.98,7.66,4.63,8.37,7.19,6.95,6.86,15.08,22.83,81.42,104525.6,47432094334,0,0,0,0,0,0,0.66,5.77,0.46,0,2.8,0.19,3830,168,15,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
Ahmadnagar,522,984.52,0,0,3.12,1756.19,3855.19,2683.53,1989.69,1469.15,996.49,738.84,526.78,404.26,357.67,271.23,198.81,130.44,107.89,74.15,54.1,47.95,31.87,28.61,26.75,26.64,15.95,14.98,13.92,18.69,6.5,15.07,11.23,11.37,6.51,8.3,7.85,8.18,12.34,3.38,7.09,2.54,2.37,10.3,7.68,5.65,2.72,7.18,5.4,1.6,4.15,5.84,6.25,8.05,4.9,3.13,2.28,4.81,4.74,7.19,3.89,6.79,6.51,14.65,0,70487.99,128000000000,119,0,1.18,0,3.68,42.7,26.3,10.5,93.1,4.62,1.61,18.1,15800,259,667,0,10.8,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Aizawl,283,3412.59,0,0,0,49.31,102.02,42.99,27.32,19.89,8.56,3.95,4.85,3.12,6.24,3.85,0.82,3.12,3.12,2.3,0.74,0.74,3.03,3.94,0.82,2.95,0.82,0,0.91,0.82,0,1.48,2.47,1.56,0.82,1.56,1.65,0,2.3,0,0.82,0,0.82,0.82,3.21,0,0.82,0.82,0,0.82,1.48,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,7430.01,3044414578,0,0,3530,0,0.78,30.7,0,0,122,0.56,0,0,5.49,4.8,35.1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
Ajmer,119,3903.05,0,0,1.61,386.31,1286.76,648.55,490.42,281.37,225.49,198.49,132.06,92.5,92.04,75.28,61.62,54.45,48.83,26.87,32.48,32.69,22.1,14.96,18.2,16.18,19.9,17.92,16.8,15.36,8.28,13.04,10.78,11.02,9.01,11.41,9.97,11.22,8.35,10.79,11.67,8.6,6.99,8.27,3.87,8.36,8.81,6.67,9.07,10.16,4.75,4.58,5.47,6.11,6.18,4.5,5.38,7.16,8.78,6.34,6.03,8.52,14.21,14.62,20.8,50755.33,48417767157,0,0,0,0,0,11,0.42,232,5.88,0,1500,0.4,6570,66.1,122,0,22.3,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
Akola,501,445.44,0,0,0,1088.96,1985.74,948.76,358.79,134.97,73.81,54.56,46.65,25.98,27.65,26.57,11.23,13.57,8.63,15.34,8.13,10.22,9.72,5.69,4.52,7.96,4.87,4.86,2.6,3.36,3.1,2.34,1.59,3.85,5.7,3.95,4.03,1.59,0,3.35,3.1,0,1.59,2.35,0.84,0.93,1.59,0.75,0.75,3.27,2.43,0.75,1.51,0.75,4.87,0.84,0.84,0.75,1.59,1.59,2.44,1.51,4.02,2.43,7.21,55259.43,32111387252,2.17,0,0,0,0,5.01,4.66,0,38,0.46,0.42,0.19,4860,137,361,0,1.92,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
Alappuzha,598,0,0,0,0,17.23,54.85,65.7,89.68,120.81,88.32,81.51,134.29,162.57,119.16,94.38,79.87,75.62,51.66,35.95,37.8,22.7,19.06,15.05,12.02,7.18,3.13,5.03,5.69,3.35,1.09,2.45,0,2.38,2.56,1.59,0.79,0.79,0.88,0.79,1.68,2.47,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121545.08,17617892121,107,0.19,320,1.71,10.8,65.5,0.25,0,257,6.47,0,241,245,8.93,156,0.1,0.73,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
Aligarh,143,1382.57,0,0,0,104.68,849.94,522.45,248.51,142.49,74.66,61.49,41.38,35.71,29.67,26.98,17.07,16.57,9.76,4.6,8.96,7.53,3.81,4.44,4.52,4.6,4.52,8.16,6.11,2.3,3.81,3.01,2.3,3.01,4.52,4.52,1.43,3.01,4.85,4.6,2.31,1.51,0.79,2.38,2.31,4.77,3.01,6.02,1.67,1.43,3.89,0.79,2.3,1.58,0.71,0.79,4.36,3.72,2.85,3.8,1.43,3.88,7.29,10.18,11.41,50413.77,21441818214,0,0,0,0,0,0,0.23,3.4,0,0,1.8,0,3640,92.3,7.55,0,0.23,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
Alirajpur,465,3061.12,0,0,0,97.97,106.21,19.07,15.27,3.98,1.49,0.83,3.81,3.15,3.23,1.57,0.92,1.57,0.83,0,0.83,2.24,1.49,0.92,1.49,0.83,0.83,0.75,0.83,0.75,0,0.75,0,0,1.49,0.83,0,0.75,0.83,0,0.83,1.57,0,0,0.83,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5440.08,1973947230,0.71,0,0.62,0,4.68,74.6,10.2,14.2,74.4,2.41,8.99,2.38,2560,2.31,585,0,5.22,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
Allahabad,175,928.97,0,0,0,662.81,1121.6,651.43,431.7,336.01,191.82,152.27,117.5,116.23,69.02,47.08,31.38,26.84,21.47,9.8,15.4,10.38,13.93,12.95,7.53,5.42,9.83,9.57,5.44,3.9,6.88,7.7,6.76,8.42,4.53,3.89,0.81,3.99,5.6,3.8,3.64,3.8,4.06,2.67,2.18,4.05,3.07,4.03,2.99,4.7,1.54,3.97,7.93,2.44,1.54,3.07,6.07,4.61,6.88,6.33,3.89,5.99,7.08,12.23,45.48,67714.85,39241361074,0,0,0,0,2.78,0.23,0.39,50.1,3.73,0,52.3,0,5000,93.9,7.19,0,2.48,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
