,NTL,MODIS,NTL+MODIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"f1 ,acc","f1 ,acc","f1 , acc",,,,,BF,BF_1,BF_2,BF_3,CHH,CHH_1,CHH_2,CHH_3,EMP,EMP_1,EMP_2,EMP_3,FC,FC_1,FC_2,FC_3,MSL,MSL_1,MSL_2,MSL_3,MSW,MSW_1,MSW_2,MSW_3
,,,,,NTL,"f1 ,acc",,"0.64 , 0.7","0.78 ,0.73","0.35 ,0.59","0.64 ,0.77","0.59 , 0.66","0.65 ,0.67","0.54 ,0.54","0.6 ,0.69","0.65 , 0.71","0.61 ,0.6","0.64 ,0.76","0.67 ,0.8","0.68 , 0.73","0.8 ,0.76","0.46 ,0.56","0.75 ,0.8","0.65 , 0.71","0.71 ,0.7","0.35 ,0.56","0.81 ,0.81","0.63 , 0.69","0.43 ,0.59","0.76 ,0.86","0.72 ,0.86"
BF,"0.64 , 0.7","0.66 , 0.74","0.71 , 0.79",,MODIS,"f1 ,acc",,"0.66 , 0.74","0.76 ,0.76","0.52 ,0.8","0.64 ,0.8","0.58 , 0.68","0.65 ,0.63","0.56 ,0.7","0.58 ,0.76","0.67 , 0.76","0.64 ,0.76","0.64 ,0.77","0.66 ,0.7","0.72 , 0.8","0.79 ,0.75","0.56 ,0.79","0.68 ,0.74","0.7 , 0.78","0.66 ,0.74","0.47 ,0.65","0.83 ,0.82","0.62 , 0.7","0.55 ,0.7","0.68 ,0.7","0.67 ,0.82"
BF_1,"0.78 ,0.73","0.76 ,0.76","0.84 ,0.82",,NTL+MODIS,"f1 , acc",,"0.71 , 0.79","0.84 ,0.82","0.49 ,0.77","0.72 ,0.82","0.68 , 0.75","0.73 ,0.83","0.65 ,0.63","0.69 ,0.8","0.73 , 0.8","0.69 ,0.74","0.71 ,0.76","0.75 ,0.87","0.78 , 0.84","0.84 ,0.83","0.6 ,0.78","0.8 ,0.89","0.74 , 0.81","0.78 ,0.88","0.46 ,0.56","0.85 ,0.84","0.71 , 0.78","0.56 ,0.79","0.81 ,0.82","0.78 ,0.81"
BF_2,"0.35 ,0.59","0.52 ,0.8","0.49 ,0.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF_3,"0.64 ,0.77","0.64 ,0.8","0.72 ,0.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHH,"0.59 , 0.66","0.58 , 0.68","0.68 , 0.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHH_1,"0.65 ,0.67","0.65 ,0.63","0.73 ,0.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHH_2,"0.54 ,0.54","0.56 ,0.7","0.65 ,0.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHH_3,"0.6 ,0.69","0.58 ,0.76","0.69 ,0.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMP,"0.65 , 0.71","0.67 , 0.76","0.73 , 0.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMP_1,"0.61 ,0.6","0.64 ,0.76","0.69 ,0.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMP_2,"0.64 ,0.76","0.64 ,0.77","0.71 ,0.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMP_3,"0.67 ,0.8","0.66 ,0.7","0.75 ,0.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,"0.68 , 0.73","0.72 , 0.8","0.78 , 0.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_1,"0.8 ,0.76","0.79 ,0.75","0.84 ,0.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_2,"0.46 ,0.56","0.56 ,0.79","0.6 ,0.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_3,"0.75 ,0.8","0.68 ,0.74","0.8 ,0.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSL,"0.65 , 0.71","0.7 , 0.78","0.74 , 0.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSL_1,"0.71 ,0.7","0.66 ,0.74","0.78 ,0.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSL_2,"0.35 ,0.56","0.47 ,0.65","0.46 ,0.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSL_3,"0.81 ,0.81","0.83 ,0.82","0.85 ,0.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSW,"0.63 , 0.69","0.62 , 0.7","0.71 , 0.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSW_1,"0.43 ,0.59","0.55 ,0.7","0.56 ,0.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSW_2,"0.76 ,0.86","0.68 ,0.7","0.81 ,0.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSW_3,"0.72 ,0.86","0.67 ,0.82","0.78 ,0.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,
