,f1,acc,recall,prec
BF_1,0.778,0.743,0.811,0.747
BF_2,0.504,0.807,0.659,0.408
BF_3,0.642,0.789,0.636,0.647
CHH_1,0.652,0.782,0.684,0.624
CHH_2,0.65,0.632,0.798,0.547
CHH_3,0.561,0.701,0.698,0.469
EMP_1,0.664,0.693,0.726,0.612
EMP_2,0.665,0.73,0.787,0.576
EMP_3,0.611,0.764,0.775,0.505
FC_1,0.829,0.816,0.833,0.825
FC_2,0.575,0.748,0.842,0.437
FC_3,0.66,0.819,0.671,0.65
MSL_1,0.586,0.733,0.794,0.465
MSL_2,0.456,0.625,0.66,0.348
MSL_3,0.717,0.731,0.648,0.801
MSW_1,0.534,0.779,0.789,0.403
MSW_2,0.723,0.73,0.801,0.659
MSW_3,0.637,0.711,0.636,0.638
