,f1,acc,recall,prec
BF_1,0.834,0.816,0.832,0.835
BF_2,0.502,0.785,0.727,0.383
BF_3,0.731,0.831,0.773,0.694
CHH_1,0.745,0.836,0.802,0.696
CHH_2,0.65,0.632,0.798,0.547
CHH_3,0.683,0.799,0.79,0.601
EMP_1,0.681,0.718,0.718,0.647
EMP_2,0.714,0.76,0.876,0.602
EMP_3,0.76,0.875,0.824,0.705
FC_1,0.846,0.833,0.855,0.836
FC_2,0.613,0.782,0.85,0.479
FC_3,0.799,0.885,0.871,0.738
MSL_1,0.782,0.878,0.915,0.683
MSL_2,0.493,0.611,0.794,0.358
MSL_3,0.85,0.85,0.816,0.888
MSW_1,0.551,0.785,0.821,0.415
MSW_2,0.801,0.816,0.843,0.764
MSW_3,0.77,0.807,0.809,0.735
