,f1,acc,recall,prec
BF_1,0.776,0.725,0.863,0.706
BF_2,0.324,0.578,0.682,0.213
BF_3,0.663,0.797,0.67,0.656
CHH_1,0.634,0.747,0.734,0.558
CHH_2,0.567,0.525,0.727,0.465
CHH_3,0.585,0.672,0.846,0.448
EMP_1,0.609,0.578,0.786,0.497
EMP_2,0.646,0.66,0.906,0.501
EMP_3,0.682,0.84,0.718,0.65
FC_1,0.789,0.748,0.88,0.715
FC_2,0.41,0.544,0.783,0.278
FC_3,0.745,0.858,0.794,0.703
MSL_1,0.634,0.747,0.922,0.483
MSL_2,0.451,0.556,0.766,0.32
MSL_3,0.79,0.794,0.739,0.848
MSW_1,0.362,0.583,0.737,0.24
MSW_2,0.7,0.681,0.847,0.597
MSW_3,0.743,0.796,0.742,0.745
